timestamp,open,high,low,close,volume
2025-04-02 11:00:00,1.42670000,1.43260000,1.38640000,1.39560000,141904.57000000
2025-04-02 12:00:00,1.39470000,1.42370000,1.39310000,1.39880000,102749.08000000
2025-04-02 13:00:00,1.39650000,1.42460000,1.37920000,1.40610000,90505.86000000
2025-04-02 14:00:00,1.40750000,1.42710000,1.40130000,1.40680000,71610.49000000
2025-04-02 15:00:00,1.40620000,1.43280000,1.40500000,1.41700000,89749.84000000
2025-04-02 16:00:00,1.41760000,1.42220000,1.40750000,1.41290000,55160.27000000
2025-04-02 17:00:00,1.41540000,1.42050000,1.39660000,1.40870000,86680.13000000
2025-04-02 18:00:00,1.40870000,1.40870000,1.38000000,1.38210000,68705.71000000
2025-04-02 19:00:00,1.38210000,1.38920000,1.36410000,1.37390000,57292.88000000
2025-04-02 20:00:00,1.37290000,1.42540000,1.36200000,1.40820000,173307.47000000
2025-04-02 21:00:00,1.40820000,1.41050000,1.37850000,1.39040000,39589.46000000
2025-04-02 22:00:00,1.39070000,1.39070000,1.33430000,1.34290000,104064.93000000
2025-04-02 23:00:00,1.33880000,1.35710000,1.33580000,1.34690000,53330.68000000
2025-04-03 00:00:00,1.34710000,1.40690000,1.34710000,1.40010000,97977.98000000
2025-04-03 01:00:00,1.40070000,1.43050000,1.39560000,1.42880000,64333.24000000
2025-04-03 02:00:00,1.42860000,1.45250000,1.42840000,1.44740000,73641.20000000
2025-04-03 03:00:00,1.44880000,1.46810000,1.44520000,1.45650000,62021.59000000
2025-04-03 04:00:00,1.45590000,1.45990000,1.42630000,1.44210000,69973.52000000
2025-04-03 05:00:00,1.44250000,1.49430000,1.44250000,1.48660000,93289.14000000
2025-04-03 06:00:00,1.48910000,1.51890000,1.48450000,1.48800000,143161.36000000
2025-04-03 07:00:00,1.48950000,1.49830000,1.47070000,1.48920000,72574.44000000
2025-04-03 08:00:00,1.48740000,1.51240000,1.48590000,1.51130000,95673.79000000
2025-04-03 09:00:00,1.51110000,1.52540000,1.48060000,1.50670000,103158.40000000
2025-04-03 10:00:00,1.50470000,1.52760000,1.49090000,1.49420000,137832.11000000
2025-04-03 11:00:00,1.49460000,1.51230000,1.47340000,1.48320000,151445.35000000
2025-04-03 12:00:00,1.48330000,1.49850000,1.46770000,1.47450000,166817.28000000
2025-04-03 13:00:00,1.47470000,1.49670000,1.46170000,1.48110000,130295.02000000
2025-04-03 14:00:00,1.48020000,1.48110000,1.42210000,1.43780000,101508.65000000
2025-04-03 15:00:00,1.43780000,1.44850000,1.42670000,1.44660000,46259.08000000
2025-04-03 16:00:00,1.44810000,1.45870000,1.43310000,1.44180000,50205.97000000
2025-04-03 17:00:00,1.44280000,1.45210000,1.43510000,1.43840000,54127.26000000
2025-04-03 18:00:00,1.44060000,1.46980000,1.42600000,1.45510000,64442.99000000
2025-04-03 19:00:00,1.45370000,1.45490000,1.42510000,1.43670000,57602.12000000
2025-04-03 20:00:00,1.43620000,1.43750000,1.41160000,1.43190000,65804.73000000
2025-04-03 21:00:00,1.43100000,1.44670000,1.42880000,1.43950000,47396.82000000
2025-04-03 22:00:00,1.43860000,1.46740000,1.43000000,1.43240000,66677.34000000
2025-04-03 23:00:00,1.43040000,1.43280000,1.41430000,1.42450000,43976.39000000
2025-04-04 00:00:00,1.42500000,1.43120000,1.38850000,1.38970000,51187.44000000
2025-04-04 01:00:00,1.38830000,1.39010000,1.35650000,1.36820000,136586.43000000
2025-04-04 02:00:00,1.36630000,1.40400000,1.36470000,1.37910000,93785.30000000
2025-04-04 03:00:00,1.38000000,1.40690000,1.37720000,1.39240000,68879.06000000
2025-04-04 04:00:00,1.39030000,1.40860000,1.38500000,1.39870000,68187.59000000
2025-04-04 05:00:00,1.39850000,1.45810000,1.39790000,1.43620000,98008.60000000
2025-04-04 06:00:00,1.43780000,1.45800000,1.43750000,1.45380000,66796.80000000
2025-04-04 07:00:00,1.45410000,1.48320000,1.38590000,1.41360000,205158.38000000
2025-04-04 08:00:00,1.41280000,1.44010000,1.41280000,1.43400000,57086.44000000
2025-04-04 09:00:00,1.43530000,1.46100000,1.43530000,1.45410000,59846.92000000
2025-04-04 10:00:00,1.45570000,1.47700000,1.45140000,1.45870000,202899.44000000
2025-04-04 11:00:00,1.46130000,1.46340000,1.42540000,1.44220000,139337.33000000
2025-04-04 12:00:00,1.44320000,1.46920000,1.42790000,1.46220000,94440.70000000
2025-04-04 13:00:00,1.46480000,1.48000000,1.44520000,1.45060000,103712.39000000
2025-04-04 14:00:00,1.45060000,1.47050000,1.44460000,1.45510000,113276.39000000
2025-04-04 15:00:00,1.45700000,1.46720000,1.40190000,1.41040000,210195.31000000
2025-04-04 16:00:00,1.40950000,1.41890000,1.39260000,1.41180000,124725.71000000
2025-04-04 17:00:00,1.41210000,1.45820000,1.41210000,1.44470000,117113.69000000
2025-04-04 18:00:00,1.44900000,1.46950000,1.44820000,1.44960000,86260.75000000
2025-04-04 19:00:00,1.45000000,1.47390000,1.44320000,1.46230000,56628.29000000
2025-04-04 20:00:00,1.46420000,1.51500000,1.46420000,1.51290000,101825.79000000
2025-04-04 21:00:00,1.51020000,1.62220000,1.50830000,1.56880000,396591.11000000
2025-04-04 22:00:00,1.56660000,1.59000000,1.53460000,1.54160000,66742.20000000
2025-04-04 23:00:00,1.54050000,1.56180000,1.52740000,1.53470000,47523.24000000
2025-04-05 00:00:00,1.53670000,1.56920000,1.52290000,1.55710000,107028.37000000
2025-04-05 01:00:00,1.55730000,1.57400000,1.54520000,1.55300000,38328.77000000
2025-04-05 02:00:00,1.55390000,1.56890000,1.49630000,1.50010000,38309.36000000
2025-04-05 03:00:00,1.49900000,1.52430000,1.48460000,1.51950000,22083.45000000
2025-04-05 04:00:00,1.52050000,1.53130000,1.50630000,1.52370000,22582.25000000
2025-04-05 05:00:00,1.52460000,1.62430000,1.52060000,1.53400000,114125.23000000
2025-04-05 06:00:00,1.53240000,1.54860000,1.52530000,1.53940000,26239.91000000
2025-04-05 07:00:00,1.53780000,1.55720000,1.53510000,1.54540000,88277.11000000
2025-04-05 08:00:00,1.54490000,1.56400000,1.54140000,1.54470000,75954.62000000
2025-04-05 09:00:00,1.54450000,1.55530000,1.53250000,1.55050000,73136.53000000
2025-04-05 10:00:00,1.55180000,1.55770000,1.54110000,1.54340000,31047.78000000
2025-04-05 11:00:00,1.54230000,1.54370000,1.52780000,1.53880000,48241.68000000
2025-04-05 12:00:00,1.53930000,1.55070000,1.51790000,1.53750000,83956.34000000
2025-04-05 13:00:00,1.53680000,1.54040000,1.51800000,1.51990000,40514.45000000
2025-04-05 14:00:00,1.52100000,1.53060000,1.51540000,1.51580000,28481.87000000
2025-04-05 15:00:00,1.51680000,1.55090000,1.51110000,1.54090000,80853.17000000
2025-04-05 16:00:00,1.53970000,1.55950000,1.53880000,1.55060000,64505.01000000
2025-04-05 17:00:00,1.55050000,1.56380000,1.54350000,1.55650000,49363.00000000
2025-04-05 18:00:00,1.55730000,1.60950000,1.55630000,1.58890000,124688.70000000
2025-04-05 19:00:00,1.58890000,1.60000000,1.58280000,1.58760000,76786.95000000
2025-04-05 20:00:00,1.58580000,1.59240000,1.57370000,1.58600000,63322.54000000
2025-04-05 21:00:00,1.58610000,1.60330000,1.58410000,1.59370000,103197.99000000
2025-04-05 22:00:00,1.59070000,1.60260000,1.57360000,1.58920000,35459.66000000
2025-04-05 23:00:00,1.59000000,1.59670000,1.54430000,1.55190000,116628.16000000
2025-04-06 00:00:00,1.55060000,1.57670000,1.54640000,1.56950000,55371.06000000
2025-04-06 01:00:00,1.57240000,1.59910000,1.57160000,1.59230000,50830.35000000
2025-04-06 02:00:00,1.59140000,1.63810000,1.58630000,1.62300000,126702.99000000
2025-04-06 03:00:00,1.62180000,1.63870000,1.60670000,1.62600000,43177.35000000
2025-04-06 04:00:00,1.62610000,1.66200000,1.61800000,1.64410000,98934.66000000
2025-04-06 05:00:00,1.64420000,1.65190000,1.49260000,1.54350000,458709.11000000
2025-04-06 06:00:00,1.54320000,1.55870000,1.51070000,1.51750000,193673.69000000
2025-04-06 07:00:00,1.51770000,1.55360000,1.51210000,1.53460000,92335.32000000
2025-04-06 08:00:00,1.53350000,1.53690000,1.50760000,1.51930000,72670.83000000
2025-04-06 09:00:00,1.51880000,1.54080000,1.48730000,1.50150000,60235.18000000
2025-04-06 10:00:00,1.50050000,1.52000000,1.49670000,1.49990000,21406.09000000
2025-04-06 11:00:00,1.50060000,1.52710000,1.49790000,1.51310000,24691.63000000
2025-04-06 12:00:00,1.51400000,1.52420000,1.50270000,1.50310000,13682.90000000
2025-04-06 13:00:00,1.50380000,1.56940000,1.50350000,1.55680000,88034.72000000
2025-04-06 14:00:00,1.55690000,1.58990000,1.55690000,1.57330000,87544.83000000
2025-04-06 15:00:00,1.57390000,1.59230000,1.54470000,1.55330000,40852.20000000
2025-04-06 16:00:00,1.55190000,1.57010000,1.54240000,1.56100000,47094.35000000
2025-04-06 17:00:00,1.56130000,1.57920000,1.54310000,1.55180000,69185.20000000
2025-04-06 18:00:00,1.55240000,1.55940000,1.51890000,1.52680000,67427.24000000
2025-04-06 19:00:00,1.52530000,1.54690000,1.52430000,1.53850000,128928.90000000
2025-04-06 20:00:00,1.53990000,1.54210000,1.48300000,1.49990000,125815.53000000
2025-04-06 21:00:00,1.49880000,1.50490000,1.45060000,1.47670000,200254.09000000
2025-04-06 22:00:00,1.47560000,1.51450000,1.47530000,1.50030000,43544.35000000
2025-04-06 23:00:00,1.50000000,1.51920000,1.49300000,1.50290000,141846.06000000
2025-04-07 00:00:00,1.50350000,1.52510000,1.46810000,1.51410000,172549.63000000
2025-04-07 01:00:00,1.51460000,1.56170000,1.51460000,1.55430000,41053.68000000
2025-04-07 02:00:00,1.55290000,1.55970000,1.53340000,1.54120000,22766.66000000
2025-04-07 03:00:00,1.54080000,1.54120000,1.50090000,1.50210000,21637.25000000
2025-04-07 04:00:00,1.50090000,1.51200000,1.47440000,1.49480000,47938.33000000
2025-04-07 05:00:00,1.49480000,1.51300000,1.47790000,1.50690000,59013.59000000
2025-04-07 06:00:00,1.50930000,1.51660000,1.47690000,1.47960000,129266.83000000
2025-04-07 07:00:00,1.47880000,1.49060000,1.43010000,1.44680000,200831.18000000
2025-04-07 08:00:00,1.44690000,1.51730000,1.43000000,1.49090000,131493.12000000
2025-04-07 09:00:00,1.49400000,1.50880000,1.47400000,1.50320000,102026.96000000
2025-04-07 10:00:00,1.50340000,1.54500000,1.49890000,1.51900000,105714.32000000
2025-04-07 11:00:00,1.51730000,1.51830000,1.48240000,1.49080000,35599.97000000
2025-04-07 12:00:00,1.49120000,1.52230000,1.48320000,1.51280000,54030.52000000
2025-04-07 13:00:00,1.51360000,1.53570000,1.46270000,1.51910000,121120.34000000
2025-04-07 14:00:00,1.51510000,1.58000000,1.50480000,1.53980000,326088.47000000
2025-04-07 15:00:00,1.53860000,1.55310000,1.50800000,1.51750000,72339.51000000
2025-04-07 16:00:00,1.51600000,1.54000000,1.49350000,1.49600000,61306.96000000
2025-04-07 17:00:00,1.49580000,1.52910000,1.49410000,1.52290000,37327.04000000
2025-04-07 18:00:00,1.52370000,1.53390000,1.50600000,1.51540000,15932.51000000
2025-04-07 19:00:00,1.51660000,1.52800000,1.48910000,1.49590000,30113.29000000
2025-04-07 20:00:00,1.49550000,1.50310000,1.48090000,1.49670000,26321.41000000
2025-04-07 21:00:00,1.49530000,1.53650000,1.49260000,1.51370000,25344.23000000
2025-04-07 22:00:00,1.51360000,1.51570000,1.48160000,1.49530000,25870.50000000
2025-04-07 23:00:00,1.49310000,1.51040000,1.48420000,1.48660000,13594.54000000
2025-04-08 00:00:00,1.48630000,1.49360000,1.44790000,1.45430000,29318.50000000
2025-04-08 01:00:00,1.45420000,1.49100000,1.41660000,1.47430000,95328.27000000
2025-04-08 02:00:00,1.47710000,1.49080000,1.46240000,1.47000000,11426.82000000
2025-04-08 03:00:00,1.47100000,1.47100000,1.43270000,1.44230000,17628.77000000
2025-04-08 04:00:00,1.44150000,1.44270000,1.39100000,1.40180000,176444.33000000
2025-04-08 05:00:00,1.40160000,1.41670000,1.38190000,1.40080000,62122.36000000
2025-04-08 06:00:00,1.39850000,1.41930000,1.37590000,1.38930000,69978.00000000
2025-04-08 07:00:00,1.38820000,1.42980000,1.37920000,1.42930000,104927.08000000
2025-04-08 08:00:00,1.42940000,1.44210000,1.40360000,1.40740000,79998.13000000
2025-04-08 09:00:00,1.40730000,1.41380000,1.39280000,1.39400000,42561.57000000
2025-04-08 10:00:00,1.39400000,1.40720000,1.38650000,1.40670000,34256.99000000
2025-04-08 11:00:00,1.40490000,1.43810000,1.39920000,1.43600000,52335.47000000
2025-04-08 12:00:00,1.43570000,1.43810000,1.42520000,1.43180000,3402.09000000
